min_temp,min_temp_C
-77.16091954022988,-60.64495530012771
-79.93258426966293,-62.184769038701624
-83.30729166666667,-64.05960648148148
-82.74742268041237,-63.748568155784646
-79.30872483221476,-61.83818046234153
-75.29931972789116,-59.61073318216175
-72.28169014084507,-57.93427230046949
-68.38297872340425,-55.768321513002356
-69.17164179104478,-56.20646766169154
-71.98214285714286,-57.767857142857146
-71.98550724637681,-57.76972624798711
-74.45180722891567,-59.13989290495314
